date_id,date,day_of_month,day_of_week_iso,day_name,day_name_short,week_start_date,iso_week,iso_year,month_number,month_name,month_name_short,year_month,quarter_number,year_quarter,year,is_weekend,is_month_end
20160904,2016-09-04,4,7,Sunday,Sun,2016-08-29,35,2016,9,September,Sep,2016-09,3,2016-Q3,2016,1,0
20160905,2016-09-05,5,1,Monday,Mon,2016-09-05,36,2016,9,September,Sep,2016-09,3,2016-Q3,2016,0,0
20160906,2016-09-06,6,2,Tuesday,Tue,2016-09-05,36,2016,9,September,Sep,2016-09,3,2016-Q3,2016,0,0
20160907,2016-09-07,7,3,Wednesday,Wed,2016-09-05,36,2016,9,September,Sep,2016-09,3,2016-Q3,2016,0,0
20160908,2016-09-08,8,4,Thursday,Thu,2016-09-05,36,2016,9,September,Sep,2016-09,3,2016-Q3,2016,0,0
20160909,2016-09-09,9,5,Friday,Fri,2016-09-05,36,2016,9,September,Sep,2016-09,3,2016-Q3,2016,0,0
20160910,2016-09-10,10,6,Saturday,Sat,2016-09-05,36,2016,9,September,Sep,2016-09,3,2016-Q3,2016,1,0
20160911,2016-09-11,11,7,Sunday,Sun,2016-09-05,36,2016,9,September,Sep,2016-09,3,2016-Q3,2016,1,0
20160912,2016-09-12,12,1,Monday,Mon,2016-09-12,37,2016,9,September,Sep,2016-09,3,2016-Q3,2016,0,0
20160913,2016-09-13,13,2,Tuesday,Tue,2016-09-12,37,2016,9,September,Sep,2016-09,3,2016-Q3,2016,0,0
20160914,2016-09-14,14,3,Wednesday,Wed,2016-09-12,37,2016,9,September,Sep,2016-09,3,2016-Q3,2016,0,0
20160915,2016-09-15,15,4,Thursday,Thu,2016-09-12,37,2016,9,September,Sep,2016-09,3,2016-Q3,2016,0,0
20160916,2016-09-16,16,5,Friday,Fri,2016-09-12,37,2016,9,September,Sep,2016-09,3,2016-Q3,2016,0,0
20160917,2016-09-17,17,6,Saturday,Sat,2016-09-12,37,2016,9,September,Sep,2016-09,3,2016-Q3,2016,1,0
20160918,2016-09-18,18,7,Sunday,Sun,2016-09-12,37,2016,9,September,Sep,2016-09,3,2016-Q3,2016,1,0
20160919,2016-09-19,19,1,Monday,Mon,2016-09-19,38,2016,9,September,Sep,2016-09,3,2016-Q3,2016,0,0
