geolocation_zip_state_id,geolocation_zip_code_prefix,geolocation_state,region_id,representative_city,observation_count,distinct_city_count,latitude_mean_all,longitude_mean_all,latitude_mean_in_broad_bbox,longitude_mean_in_broad_bbox,broad_bbox_outlier_count
01001-SP,01001,SP,SP,sao paulo,26,2,-23.550190,-46.634024,-23.550190,-46.634024,0
01002-SP,01002,SP,SP,sao paulo,13,2,-23.548146,-46.634979,-23.548146,-46.634979,0
01003-SP,01003,SP,SP,sao paulo,17,2,-23.548994,-46.635731,-23.548994,-46.635731,0
01004-SP,01004,SP,SP,sao paulo,22,2,-23.549799,-46.634757,-23.549799,-46.634757,0
01005-SP,01005,SP,SP,sao paulo,25,2,-23.549456,-46.636733,-23.549456,-46.636733,0
01006-SP,01006,SP,SP,sao paulo,9,2,-23.550102,-46.636137,-23.550102,-46.636137,0
01007-SP,01007,SP,SP,sao paulo,26,2,-23.550046,-46.637251,-23.550046,-46.637251,0
01008-SP,01008,SP,SP,sao paulo,16,2,-23.546002,-46.635886,-23.546002,-46.635886,0
01009-SP,01009,SP,SP,sao paulo,41,2,-23.546835,-46.636491,-23.546835,-46.636491,0
01010-SP,01010,SP,SP,sao paulo,18,2,-23.546389,-46.635226,-23.546389,-46.635226,0
01011-SP,01011,SP,SP,sao paulo,21,2,-23.546909,-46.635582,-23.546909,-46.635582,0
01012-SP,01012,SP,SP,sao paulo,17,2,-23.547790,-46.634859,-23.547790,-46.634859,0
01013-SP,01013,SP,SP,sao paulo,20,2,-23.547142,-46.634236,-23.547142,-46.634236,0
01014-SP,01014,SP,SP,sao paulo,54,2,-23.545913,-46.633615,-23.545913,-46.633615,0
01015-SP,01015,SP,SP,sao paulo,10,2,-23.547666,-46.631559,-23.547666,-46.631559,0
01016-SP,01016,SP,SP,sao paulo,12,2,-23.548976,-46.632352,-23.548976,-46.632352,0
01017-SP,01017,SP,SP,sao paulo,41,2,-23.549531,-46.631024,-23.549531,-46.631024,0
01018-SP,01018,SP,SP,sao paulo,8,2,-23.550929,-46.632431,-23.550929,-46.632431,0
01019-SP,01019,SP,SP,sao paulo,25,2,-23.551774,-46.630893,-23.551774,-46.630893,0
01020-SP,01020,SP,SP,sao paulo,66,2,-23.552336,-46.630050,-23.552336,-46.630050,0
01021-SP,01021,SP,SP,sao paulo,23,2,-23.543000,-46.632143,-23.543000,-46.632143,0
01022-SP,01022,SP,SP,sao paulo,17,2,-23.544922,-46.631931,-23.544922,-46.631931,0
01023-SP,01023,SP,SP,sao paulo,20,2,-23.542331,-46.631373,-23.542331,-46.631373,0
01024-SP,01024,SP,SP,sao paulo,7,2,-23.541401,-46.629904,-23.541401,-46.629904,0
01025-SP,01025,SP,SP,sao paulo,15,2,-23.540292,-46.630928,-23.540292,-46.630928,0
01026-SP,01026,SP,SP,sao paulo,39,2,-23.539657,-46.631884,-23.539657,-46.631884,0
01027-SP,01027,SP,SP,sao paulo,28,2,-23.538082,-46.630669,-23.538082,-46.630669,0
01028-SP,01028,SP,SP,sao paulo,17,2,-23.535933,-46.633555,-23.535933,-46.633555,0
01029-SP,01029,SP,SP,sao paulo,8,2,-23.541373,-46.633416,-23.541373,-46.633416,0
